Year,Project,SUPPLIER,MFG,MFG Part #,Task Code,Material, Quantity ,UoM, Unit Price , Extended Price ,Order Date,Unnamed: 12,Inches,Feet,Schedule
2019,Santa Fe,Graybar,236236437,,Electrical Conduit - Solar,8 SCH40 COND 10 FT,1,EA,$90.13 ,$90.13 ,9/16/2020,,8,10,40
2019,Santa Fe,Border States,,,Electrical Conduit - Solar,"8"" SCH 40 Conduit 10' Stick",1,EA,$359.70 ,$359.70 ,6/24/2020,,8,10,40
2022,Orchard,Gexpro,,,Electrical Conduit - Solar,"6"" Schedule 40 PVC ",1,EA,$12.86 ,$12.86 ,3/23/2023,,6,10,40
2022,Orchard,Gexpro,,,Electrical Conduit - Solar," 8"" Schedule 40 PVC ",1,EA,$25.26 ,$25.26 ,3/23/2023,,8,10,40
2019,Santa Fe,Graybar,236236437,,Electrical Conduit - Solar,SCH40 Bell END,4,EA,$38.19 ,$152.77 ,9/16/2020,,,,
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,"Gexpro - 8"" Bellend (Includes S&H)",5,ea,$70.00 ,$350.00 ,6/27/2022,,8,10,40
2019,Snipes 1,Border States,,2245070,ELECTRICAL CONDUIT,"conduit-8"" sch 40-10 ft stick",6,EA,$53.50 ,$321.00 ,3/13/2020,,8,10,40
2022,Caloosahatchee,Gexpro,,,Electrical Conduit - Solar,"EB80 8"" PVC MLD END BELL SCEPTER/KRALOY",6,EA,$88.68 ,$532.08 ,6/7/2023,,,,
2022,Orchard,Gexpro,,,Electrical Conduit - Solar," 6"" Bell End ",6,EA,$11.54 ,$69.26 ,3/23/2023,,,,
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,PVC 800 8-IN-PVC-SCHED-40-CONDUIT - 10'  Sticks,8,ea,$310.00 ,"$2,483.20 ",1/24/2022,,8,10,80
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,"Gexpro - 1 1/4"" sch 40 - 10 ft sticks",8,ea,$262.00 ,"$2,096.00 ",5/17/2022,,1.25,10,40
2022,Orchard,Gexpro,,,Electrical Conduit - Solar," 8"" Bell End ",8,EA,$10.44 ,$83.56 ,3/23/2023,,,,
2019,Snipes 1,Border States,4/10/20 PENDING,2245070,ELECTRICAL CONDUIT,EPVC - SCH40-8IN-10FT-PVC-CONDUIT,10,LF,$55.70 ,$557.00 ,4/10/2020,,8,10,40
2022,Tierra Bonita,Gexpro,KYL Direct,278123,Electrical Conduit - Solar,"Gexpro# 458596  8"" BELL END",12,EA,$62.50 ,$750.00 ,2/12/2024,,,,
2019,Santa Fe,Border States,,,Electrical Conduit - Solar,"8"" Bell Ends",13,Ea,$35.15 ,$456.95 ,6/24/2020,,,,
2019,Snipes 1,Border States,,E997J,ELECTRICAL CONDUIT,"2"" PVC Bell Ends",13,EA,$2.00 ,$26.00 ,3/20/2020,,,,
2019,Snipes 1,Border States,,E997T,ELECTRICAL CONDUIT,"8"" PVC Bell Ends",13,EA,$33.91 ,$440.83 ,3/20/2020,,,,
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar, 1-1/4-PVC-SCHED-80-CONDUIT - 10' Sticks ,15,ea,$34.23 ,$513.50 ,1/24/2022,,1.25,10,80
2022,Winquepin,Border States,,,Electrical Conduit - Solar,EPVC - END-BELL-4IN-PVC,15,EA,$5.51 ,$82.71 ,4/25/2023,,,,
2018,Columbia,Border States,,,ELECTRICAL CONDUIT,"8 in Bell ends, per quote#25456508",20,,$53.52 ,"$1,070.30 ",11/18/2019,,,,
2019,Snipes 1,Border States,,,ELECTRICAL CONDUIT,"4"" pvc sch 40 conduit-10' sticks",20,EA,$21.50 ,$430.00 ,5/20/2020,,4,10,40
2019,Snipes 1,Border States,,2243888,ELECTRICAL CONDUIT,"3"" SCH 80 PVC 10' Stick w/ bell-end ( 10 ft lengths)",20,EA,$17.63 ,$352.58 ,6/4/2020,,,,
2022,Winquepin,Border States,,,Electrical Conduit - Solar,EPVC - SCH80-4IN-10FT-PVC-CONDUIT,20,FT,$12.52 ,$250.49 ,4/25/2023,,4,10,80
2022,Winquepin,Border States,,,Electrical Conduit - Solar,"BSE ITEM#-2243888-3"" SCH 80 10FT STICK",20,ea,$7.63 ,$152.61 ,6/14/2023,,3,10,80
2022,Winquepin,Border States,,,Electrical Conduit - Solar,BSE-Item#2243887-2 1/2 sch 80 10ft stick,20,ea,$6.33 ,$126.63 ,6/14/2023,,2.5,10,80
2019,Snipes 1,Border States,,UA9FMB,ELECTRICAL CONDUIT,"3.5"" SCH 40 PVC 36"" Sweep 90's w/ bell-end",21,EA,$14.89 ,$312.69 ,3/20/2020,,,,
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,RXP 800BE 8-IN-BELL-END,25,ea, $-   , included ,1/24/2022,,,,
2019,Snipes 1,Border States,ELECTRICAL PVC PIPE & FITTINGS,2245070,ELECTRICAL CONDUIT,"8"" SCH 40 PVC 10' Stick w/ bell-end",27,EA,$53.50 ,"$1,444.50 ",2/14/2020,,,,
2022,Caloosahatchee,Gexpro,,,Electrical Conduit - Solar,"8"" Schedule 40 PVC",30,EA,$26.55 ,$796.50 ,6/7/2023,,8,10,40
2022,Tierra Bonita,Gexpro,ATKORE,800BE,Electrical Conduit - Solar,RXP 800BE 8-IN-BELL-END,30,EA,$83.20 ,"$2,496.00 ",5/17/2023,,,,
2022,Winquepin,Border States,,,Electrical Conduit - Solar,"MEB80 - 8"" Bell End",30,EA,$51.02 ,"$1,530.68 ",x,,,,
2023,Markum Solar,Border States,KRALOY,278123,Electrical Conduit - Solar,"8"" Bell End SCH40",30,EA,$47.82 ,"$1,434.57 ",10/24/2023,,,,
2018,Highlander,Border States,,,ELECTRICAL CONDUIT,EPVC - END-BELL-4IN-PVC,32,EA,$4.00 ,$128.00 ,6/17/2020,,,,
2023,Markum Solar,Border States,KRALOY,78299,Electrical Conduit - Solar,"6"" Bell End SCH40",32,EA,$8.38 ,$268.01 ,12/6/2023,,,,
2022,Monarch,Gexpro,,,Electrical Conduit - Solar,ED80 8in PVC MLD End Bell Scepter/Kraloy,35,EA,$88.68 ,"$3,103.80 ",6/8/2023,,,,
2022,Caloosahatchee,Gexpro,,114429,Electrical Conduit - Solar,"600 BE-MV 6"" Bell Ends",38,EA,$11.54 ,$438.62 ,3/9/2023,,,,
2022,Monarch,Gexpro,,,Electrical Conduit - Solar,"MV 6"" Bell Ends",38,ea,"$1,154.26 ",$438.62 ,3/10/2023,,,,
2022,Orchard,Gexpro,,114429,Electrical Conduit - Solar," 6"" Bell End ",38,EA,$11.54 ,$438.52 ,3/23/2023,,,,
2022,Tierra Bonita,Gexpro,,,Electrical Conduit - Solar,43526 PVC 400 4-IN-PVC-SCHED-40-CONDUIT  UPC: 98006006010,40,EA,$5.76 ,$230.43 ,12/21/2023,,4,10,40
2022,Tierra Bonita,Gexpro,,,Electrical Conduit - Solar,26867 PVC 40080 4-IN-PVC-SCHED-80-CONDUIT UPC: 98006006310,40,EA,$9.60 ,$383.90 ,12/25/2023,,4,10,40
2019,Santa Fe,Border States,33558152,,Electrical Conduit - Solar,EPVC - END-BELL-8IN-PVC,40,EA,$35.12 ,"$1,404.80 ",3/31/2020,,,,
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,PVC 600 6-IN-PVC-SCHED-40-CONDUIT - 10' Sticks,40,ea,$161.66 ,"$6,466.36 ",1/24/2022,,6,10,40
2022,Winquepin,Border States,,,Electrical Conduit - Solar,"MEB60 - 6"" Bell End",40,EA,$8.30 ,$331.98 ,x,,,,
2019,Snipes 1,Border States,ELECTRICAL PVC PIPE & FITTINGS,2243888,ELECTRICAL CONDUIT,"3"" SCH 80 PVC 10' Stick w/ bell-end",43,EA,$16.30 ,$700.90 ,2/14/2020,,,,
